"","rules","support","confidence","lift","count"
"1","{SPH0016} => {SPH0015}",0.00105222881193801,0.647058823529412,338.217647058824,11
"2","{SPH0015} => {SPH0016}",0.00105222881193801,0.55,338.217647058824,11
"11","{APP1914} => {APP1041}",0.00114788597665965,0.521739130434783,165.280632411067,12
"12","{APP1041} => {APP1914}",0.00114788597665965,0.363636363636364,165.280632411067,12
"9","{APP2117} => {APP2155}",0.00105222881193801,0.458333333333333,97.7840136054422,11
"14","{PHI0063} => {PHI0070}",0.00105222881193801,0.392857142857143,66.2407834101382,11
"13","{APP1803} => {APP1215}",0.00162617180026784,0.894736842105263,65.4096429885904,17
"18","{XDO0033} => {ZAG0016}",0.00114788597665965,0.352941176470588,54.2595155709343,12
"10","{APP2117} => {APP1215}",0.0015305146355462,0.666666666666667,48.7365967365967,16
"21","{APP2155} => {APP1215}",0.00258274344748422,0.551020408163265,40.282289139432,27
"5","{APP2142} => {APP1215}",0.00114788597665965,0.545454545454545,39.8753973299428,12
"16","{APP0729} => {APP1913}",0.00114788597665965,0.428571428571429,35.5578231292517,12
"3","{QNA0210} => {WDT0177}",0.00114788597665965,0.571428571428571,32.2903474903475,12
"4","{SYN0180} => {WDT0177}",0.00124354314138129,0.565217391304348,31.9393654524089,13
"23","{OWC0147} => {NTE0007}",0.00315668643581404,0.485294117647059,28.3422609267171,33
"6","{SYN0181} => {WDT0177}",0.00133920030610293,0.5,28.2540540540541,14
"7","{SYN0173} => {WDT0177}",0.00133920030610293,0.482758620689655,27.2797763280522,14
"20","{APP2086} => {APP1208}",0.00210445762387603,0.488888888888889,24.3373544973545,22
"24","{OWC0094} => {NTE0007}",0.00258274344748422,0.397058823529412,23.1891225764049,27
"26","{APP1209} => {APP1208}",0.00296537210637077,0.442857142857143,22.0458503401361,31
"25","{APP0979} => {APP0692}",0.00449588674191697,0.61038961038961,22.0034930586655,47
"8","{APP2485} => {APP1184}",0.00105222881193801,0.55,20.3169611307421,11
"19","{APP1459} => {APP1208}",0.00143485747082456,0.375,18.6678571428571,15
"17","{APP2471} => {APP1184}",0.00133920030610293,0.341463414634146,12.6136344048953,14
"15","{APP2483} => {APP1184}",0.00105222881193801,0.333333333333333,12.3133097762073,11
"22","{APP1014} => {APP1184}",0.00172182896498948,0.315789473684211,11.6652408406174,18
