"","unique(temp_brands)"
"1","8MO"
"2","ACM"
"3","ADN"
"4","AII"
"5","AKI"
"6","ALL"
"7","AP2"
"8","APP"
"9","BAN"
"10","BEA"
"11","BEL"
"12","BEZ"
"13","BLL"
"14","BLM"
"15","BNQ"
"16","BOD"
"17","BOO"
"18","BOS"
"19","BTC"
"20","CAD"
"21","CAI"
"22","CEL"
"23","COG"
"24","CRU"
"25","CYB"
"26","CYG"
"27","DEV"
"28","DJI"
"29","DLK"
"30","DLL"
"31","DOD"
"32","DRO"
"33","DVI"
"34","EIZ"
"35","ELA"
"36","ELE"
"37","ELG"
"38","ENV"
"39","EVU"
"40","FCM"
"41","FIB"
"42","FIF"
"43","FIT"
"44","GAM"
"45","GLY"
"46","GOP"
"47","GRT"
"48","GTE"
"49","HAR"
"50","HGD"
"51","HGS"
"52","HIC"
"53","HOC"
"54","HOW"
"55","HTE"
"56","IAM"
"57","ICA"
"58","IFR"
"59","IFX"
"60","IHE"
"61","IKM"
"62","IOT"
"63","ite"
"64","JAB"
"65","JAW"
"66","JBL"
"67","JMO"
"68","JOB"
"69","JYB"
"70","KAI"
"71","KAN"
"72","KEN"
"73","KEU"
"74","KIN"
"75","KOO"
"76","KUA"
"77","LAC"
"78","LAN"
"79","LEE"
"80","LEX"
"81","LGE"
"82","LIB"
"83","LIF"
"84","LMP"
"85","LOG"
"86","LUN"
"87","MAC"
"88","MAK"
"89","MAT"
"90","MBI"
"91","MDT"
"92","MIC"
"93","MIN"
"94","MMW"
"95","MOL"
"96","MOP"
"97","MOS"
"98","MOX"
"99","MTF"
"100","MUJ"
"101","MUV"
"102","MYF"
"103","NDA"
"104","NDE"
"105","NEA"
"106","NES"
"107","NIE"
"108","NIM"
"109","NKI"
"110","NOD"
"111","NOK"
"112","NOM"
"113","NTE"
"114","OBL"
"115","OLI"
"116","OLL"
"117","OPU"
"118","OSM"
"119","OTR"
"120","OTT"
"121","OWC"
"122","PAC"
"123","PAR"
"124","PEB"
"125","PHI"
"126","PIE"
"127","PLA"
"128","POL"
"129","PQI"
"130","PRO"
"131","PRY"
"132","PUR"
"133","QAR"
"134","QDO"
"135","QNA"
"136","RAI"
"137","REP"
"138","RET"
"139","RUT"
"140","RYV"
"141","SAM"
"142","SAN"
"143","SAT"
"144","SDE"
"145","SEA"
"146","SEV"
"147","SHE"
"148","SNA"
"149","SNN"
"150","SNS"
"151","SOF"
"152","SPE"
"153","SPH"
"154","SSE"
"155","STA"
"156","STC"
"157","STI"
"158","STK"
"159","STM"
"160","SXA"
"161","SYN"
"162","TAD"
"163","TAM"
"164","TCH"
"165","THU"
"166","TIG"
"167","TIL"
"168","TOS"
"169","TPL"
"170","TRA"
"171","TRI"
"172","TRK"
"173","TRN"
"174","TUC"
"175","TWS"
"176","UAG"
"177","WAC"
"178","WDT"
"179","WHO"
"180","WIK"
"181","WIT"
"182","WOE"
"183","XDO"
"184","XOO"
"185","XRI"
"186","XTO"
"187","ZAG"
"188","ZEP"
